Africa Eastern and Southern,AFE,Mobile cellular subscriptions,IT.CEL.SETS,Year,Subscribers
IDA total,IDA,Mobile cellular subscriptions,IT.CEL.SETS,327628287,945040471.0
IDA blend,IDB,Mobile cellular subscriptions,IT.CEL.SETS,327628287,347914856.0
Indonesia,IDN,Mobile cellular subscriptions,IT.CEL.SETS,327628287,313226914.0
IDA only,IDX,Mobile cellular subscriptions,IT.CEL.SETS,327628287,597125615.0
India,IND,Mobile cellular subscriptions,IT.CEL.SETS,327628287,886304245.0
Ireland,IRL,Mobile cellular subscriptions,IT.CEL.SETS,327628287,4880792.0
"Iran, Islamic Rep.",IRN,Mobile cellular subscriptions,IT.CEL.SETS,327628287,65246219.0
Iraq,IRQ,Mobile cellular subscriptions,IT.CEL.SETS,327628287,32450000.0
Iceland,ISL,Mobile cellular subscriptions,IT.CEL.SETS,327628287,356264.0
Israel,ISR,Mobile cellular subscriptions,IT.CEL.SETS,327628287,9500000.0
Italy,ITA,Mobile cellular subscriptions,IT.CEL.SETS,327628287,96863107.0
Jamaica,JAM,Mobile cellular subscriptions,IT.CEL.SETS,327628287,2846196.0
Jordan,JOR,Mobile cellular subscriptions,IT.CEL.SETS,327628287,10313976.0
Japan,JPN,Mobile cellular subscriptions,IT.CEL.SETS,327628287,147887593.0
Kazakhstan,KAZ,Mobile cellular subscriptions,IT.CEL.SETS,327628287,30364900.0
Kenya,KEN,Mobile cellular subscriptions,IT.CEL.SETS,327628287,31830003.0
Kyrgyz Republic,KGZ,Mobile cellular subscriptions,IT.CEL.SETS,327628287,6737487.0
Cambodia,KHM,Mobile cellular subscriptions,IT.CEL.SETS,327628287,20264514.0
Kiribati,KIR,Mobile cellular subscriptions,IT.CEL.SETS,327628287,20000.0
St. Kitts and Nevis,KNA,Mobile cellular subscriptions,IT.CEL.SETS,327628287,77000.0
"Korea, Rep.",KOR,Mobile cellular subscriptions,IT.CEL.SETS,327628287,54680840.0
Kuwait,KWT,Mobile cellular subscriptions,IT.CEL.SETS,327628287,6410000.0
Latin America & Caribbean (excluding high income),LAC,Mobile cellular subscriptions,IT.CEL.SETS,327628287,634608435.0
Lao PDR,LAO,Mobile cellular subscriptions,IT.CEL.SETS,327628287,4612612.0
Lebanon,LBN,Mobile cellular subscriptions,IT.CEL.SETS,327628287,3884757.0
Liberia,LBR,Mobile cellular subscriptions,IT.CEL.SETS,327628287,2550775.0
Libya,LBY,Mobile cellular subscriptions,IT.CEL.SETS,327628287,10235300.0
St. Lucia,LCA,Mobile cellular subscriptions,IT.CEL.SETS,327628287,212063.0
Latin America & Caribbean,LCN,Mobile cellular subscriptions,IT.CEL.SETS,327628287,707502300.0
Least developed countries: UN classification,LDC,Mobile cellular subscriptions,IT.CEL.SETS,327628287,500690157.0
Low income,LIC,Mobile cellular subscriptions,IT.CEL.SETS,327628287,249258440.0
Liechtenstein,LIE,Mobile cellular subscriptions,IT.CEL.SETS,327628287,38427.0
Sri Lanka,LKA,Mobile cellular subscriptions,IT.CEL.SETS,327628287,20315150.0
Lower middle income,LMC,Mobile cellular subscriptions,IT.CEL.SETS,327628287,2172073302.0
Low & middle income,LMY,Mobile cellular subscriptions,IT.CEL.SETS,327628287,5225935002.0
Lesotho,LSO,Mobile cellular subscriptions,IT.CEL.SETS,327628287,1790295.0
Late-demographic dividend,LTE,Mobile cellular subscriptions,IT.CEL.SETS,327628287,2366518965.0
Lithuania,LTU,Mobile cellular subscriptions,IT.CEL.SETS,327628287,4565976.0
Luxembourg,LUX,Mobile cellular subscriptions,IT.CEL.SETS,327628287,788371.0
Latvia,LVA,Mobile cellular subscriptions,IT.CEL.SETS,327628287,2558000.0
"Macao SAR, China",MAC,Mobile cellular subscriptions,IT.CEL.SETS,327628287,1722245.0
Morocco,MAR,Mobile cellular subscriptions,IT.CEL.SETS,327628287,42423794.0
Monaco,MCO,Mobile cellular subscriptions,IT.CEL.SETS,327628287,35464.0
Moldova,MDA,Mobile cellular subscriptions,IT.CEL.SETS,327628287,3696834.0
Madagascar,MDG,Mobile cellular subscriptions,IT.CEL.SETS,327628287,8461120.0
Maldives,MDV,Mobile cellular subscriptions,IT.CEL.SETS,327628287,625161.0
Middle East & North Africa,MEA,Mobile cellular subscriptions,IT.CEL.SETS,327628287,445830806.0
Mexico,MEX,Mobile cellular subscriptions,IT.CEL.SETS,327628287,106747373.0
Middle income,MIC,Mobile cellular subscriptions,IT.CEL.SETS,327628287,4976676562.0
North Macedonia,MKD,Mobile cellular subscriptions,IT.CEL.SETS,327628287,2237250.0
Mali,MLI,Mobile cellular subscriptions,IT.CEL.SETS,327628287,19749371.0
Malta,MLT,Mobile cellular subscriptions,IT.CEL.SETS,327628287,556652.0
Myanmar,MMR,Mobile cellular subscriptions,IT.CEL.SETS,327628287,6832380.0
Middle East & North Africa (excluding high income),MNA,Mobile cellular subscriptions,IT.CEL.SETS,327628287,349058638.0
Montenegro,MNE,Mobile cellular subscriptions,IT.CEL.SETS,327628287,993902.0
Mongolia,MNG,Mobile cellular subscriptions,IT.CEL.SETS,327628287,2877584.0
Mozambique,MOZ,Mobile cellular subscriptions,IT.CEL.SETS,327628287,12401290.0
Mauritania,MRT,Mobile cellular subscriptions,IT.CEL.SETS,327628287,3988195.0
Mauritius,MUS,Mobile cellular subscriptions,IT.CEL.SETS,327628287,1533600.0
Malawi,MWI,Mobile cellular subscriptions,IT.CEL.SETS,327628287,5290044.0
Malaysia,MYS,Mobile cellular subscriptions,IT.CEL.SETS,327628287,43005000.0
North America,NAC,Mobile cellular subscriptions,IT.CEL.SETS,327628287,339152300.0
Namibia,NAM,Mobile cellular subscriptions,IT.CEL.SETS,327628287,2727913.0
New Caledonia,NCL,Mobile cellular subscriptions,IT.CEL.SETS,327628287,240500.0
Niger,NER,Mobile cellular subscriptions,IT.CEL.SETS,327628287,7006300.0
Nigeria,NGA,Mobile cellular subscriptions,IT.CEL.SETS,327628287,127246092.0
Nicaragua,NIC,Mobile cellular subscriptions,IT.CEL.SETS,327628287,6808930.0
Netherlands,NLD,Mobile cellular subscriptions,IT.CEL.SETS,327628287,19467000.0
Norway,NOR,Mobile cellular subscriptions,IT.CEL.SETS,327628287,5692052.0
Nepal,NPL,Mobile cellular subscriptions,IT.CEL.SETS,327628287,21362289.0
New Zealand,NZL,Mobile cellular subscriptions,IT.CEL.SETS,327628287,4766000.0
OECD members,OED,Mobile cellular subscriptions,IT.CEL.SETS,327628287,1445975626.0
Oman,OMN,Mobile cellular subscriptions,IT.CEL.SETS,327628287,5617426.0
Other small states,OSS,Mobile cellular subscriptions,IT.CEL.SETS,327628287,30369067.0
Pakistan,PAK,Mobile cellular subscriptions,IT.CEL.SETS,327628287,127737286.0
Panama,PAN,Mobile cellular subscriptions,IT.CEL.SETS,327628287,6204636.0
Peru,PER,Mobile cellular subscriptions,IT.CEL.SETS,327628287,29793297.0
Philippines,PHL,Mobile cellular subscriptions,IT.CEL.SETS,327628287,102823569.0
Palau,PLW,Mobile cellular subscriptions,IT.CEL.SETS,327628287,17945.0
Papua New Guinea,PNG,Mobile cellular subscriptions,IT.CEL.SETS,327628287,3000000.0
Poland,POL,Mobile cellular subscriptions,IT.CEL.SETS,327628287,56972803.0
Pre-demographic dividend,PRE,Mobile cellular subscriptions,IT.CEL.SETS,327628287,503425982.0
Puerto Rico,PRI,Mobile cellular subscriptions,IT.CEL.SETS,327628287,3085146.0
"Korea, Dem. People's Rep.",PRK,Mobile cellular subscriptions,IT.CEL.SETS,327628287,2420000.0
Portugal,PRT,Mobile cellular subscriptions,IT.CEL.SETS,327628287,11990993.0
Paraguay,PRY,Mobile cellular subscriptions,IT.CEL.SETS,327628287,7053297.0
West Bank and Gaza,PSE,Mobile cellular subscriptions,IT.CEL.SETS,327628287,3190233.0
Pacific island small states,PSS,Mobile cellular subscriptions,IT.CEL.SETS,327628287,1610880.0
Post-demographic dividend,PST,Mobile cellular subscriptions,IT.CEL.SETS,327628287,1228472309.0
French Polynesia,PYF,Mobile cellular subscriptions,IT.CEL.SETS,327628287,243395.0
Qatar,QAT,Mobile cellular subscriptions,IT.CEL.SETS,327628287,3310353.0
Romania,ROU,Mobile cellular subscriptions,IT.CEL.SETS,327628287,22910000.0
Russian Federation,RUS,Mobile cellular subscriptions,IT.CEL.SETS,327628287,218300372.0
Rwanda,RWA,Mobile cellular subscriptions,IT.CEL.SETS,327628287,6689158.0
South Asia,SAS,Mobile cellular subscriptions,IT.CEL.SETS,327628287,1190248700.0
Saudi Arabia,SAU,Mobile cellular subscriptions,IT.CEL.SETS,327628287,53104000.0
Sudan,SDN,Mobile cellular subscriptions,IT.CEL.SETS,327628287,27657875.0
Senegal,SEN,Mobile cellular subscriptions,IT.CEL.SETS,327628287,13133772.0
Singapore,SGP,Mobile cellular subscriptions,IT.CEL.SETS,327628287,8438100.0
Solomon Islands,SLB,Mobile cellular subscriptions,IT.CEL.SETS,327628287,323105.0
Sierra Leone,SLE,Mobile cellular subscriptions,IT.CEL.SETS,327628287,4000000.0
El Salvador,SLV,Mobile cellular subscriptions,IT.CEL.SETS,327628287,8991899.0
San Marino,SMR,Mobile cellular subscriptions,IT.CEL.SETS,327628287,36780.0
Somalia,SOM,Mobile cellular subscriptions,IT.CEL.SETS,327628287,5183000.0
Serbia,SRB,Mobile cellular subscriptions,IT.CEL.SETS,327628287,9198717.0
Sub-Saharan Africa (excluding high income),SSA,Mobile cellular subscriptions,IT.CEL.SETS,327628287,617941387.0
South Sudan,SSD,Mobile cellular subscriptions,IT.CEL.SETS,327628287,2853228.0
Sub-Saharan Africa,SSF,Mobile cellular subscriptions,IT.CEL.SETS,327628287,618078177.0
Small states,SST,Mobile cellular subscriptions,IT.CEL.SETS,327628287,39718348.0
Sao Tome and Principe,STP,Mobile cellular subscriptions,IT.CEL.SETS,327628287,125329.0
Suriname,SUR,Mobile cellular subscriptions,IT.CEL.SETS,327628287,868600.0
Slovak Republic,SVK,Mobile cellular subscriptions,IT.CEL.SETS,327628287,6208412.0
Slovenia,SVN,Mobile cellular subscriptions,IT.CEL.SETS,327628287,2283573.0
Sweden,SWE,Mobile cellular subscriptions,IT.CEL.SETS,327628287,12014368.0
Eswatini,SWZ,Mobile cellular subscriptions,IT.CEL.SETS,327628287,893000.0
Seychelles,SYC,Mobile cellular subscriptions,IT.CEL.SETS,327628287,136790.0
Syrian Arab Republic,SYR,Mobile cellular subscriptions,IT.CEL.SETS,327628287,12291150.0
Chad,TCD,Mobile cellular subscriptions,IT.CEL.SETS,327628287,4561243.0
East Asia & Pacific (IDA & IBRD countries),TEA,Mobile cellular subscriptions,IT.CEL.SETS,327628287,1945601010.0
Europe & Central Asia (IDA & IBRD countries),TEC,Mobile cellular subscriptions,IT.CEL.SETS,327628287,570660650.0
Togo,TGO,Mobile cellular subscriptions,IT.CEL.SETS,327628287,4262993.0
Thailand,THA,Mobile cellular subscriptions,IT.CEL.SETS,327628287,93849000.0
Tajikistan,TJK,Mobile cellular subscriptions,IT.CEL.SETS,327628287,7537100.0
Turkmenistan,TKM,Mobile cellular subscriptions,IT.CEL.SETS,327628287,6125300.0
Latin America & the Caribbean (IDA & IBRD countries),TLA,Mobile cellular subscriptions,IT.CEL.SETS,327628287,701333004.0
Timor-Leste,TLS,Mobile cellular subscriptions,IT.CEL.SETS,327628287,650000.0
Middle East & North Africa (IDA & IBRD countries),TMN,Mobile cellular subscriptions,IT.CEL.SETS,327628287,345868405.0
Tonga,TON,Mobile cellular subscriptions,IT.CEL.SETS,327628287,57500.0
South Asia (IDA & IBRD),TSA,Mobile cellular subscriptions,IT.CEL.SETS,327628287,1190248700.0
Sub-Saharan Africa (IDA & IBRD countries),TSS,Mobile cellular subscriptions,IT.CEL.SETS,327628287,618078177.0
Trinidad and Tobago,TTO,Mobile cellular subscriptions,IT.CEL.SETS,327628287,1943873.0
Tunisia,TUN,Mobile cellular subscriptions,IT.CEL.SETS,327628287,12712365.0
Turkiye,TUR,Mobile cellular subscriptions,IT.CEL.SETS,327628287,69661108.0
Tuvalu,TUV,Mobile cellular subscriptions,IT.CEL.SETS,327628287,3400.0
Tanzania,TZA,Mobile cellular subscriptions,IT.CEL.SETS,327628287,27442823.0
Uganda,UGA,Mobile cellular subscriptions,IT.CEL.SETS,327628287,18068648.0
Ukraine,UKR,Mobile cellular subscriptions,IT.CEL.SETS,327628287,62458800.0
Upper middle income,UMC,Mobile cellular subscriptions,IT.CEL.SETS,327628287,2804603260.0
Uruguay,URY,Mobile cellular subscriptions,IT.CEL.SETS,327628287,5267947.0
United States,USA,Mobile cellular subscriptions,IT.CEL.SETS,327628287,310698000.0
Uzbekistan,UZB,Mobile cellular subscriptions,IT.CEL.SETS,327628287,21500000.0
St. Vincent and the Grenadines,VCT,Mobile cellular subscriptions,IT.CEL.SETS,327628287,125378.0
"Venezuela, RB",VEN,Mobile cellular subscriptions,IT.CEL.SETS,327628287,30896079.0
British Virgin Islands,VGB,Mobile cellular subscriptions,IT.CEL.SETS,327628287,53406.0
Viet Nam,VNM,Mobile cellular subscriptions,IT.CEL.SETS,327628287,123735557.0
Vanuatu,VUT,Mobile cellular subscriptions,IT.CEL.SETS,327628287,127244.0
World,WLD,Mobile cellular subscriptions,IT.CEL.SETS,327628287,6661650082.0
Samoa,WSM,Mobile cellular subscriptions,IT.CEL.SETS,327628287,99887.0
"Yemen, Rep.",YEM,Mobile cellular subscriptions,IT.CEL.SETS,327628287,16844700.0
South Africa,ZAF,Mobile cellular subscriptions,IT.CEL.SETS,327628287,76865278.0
Zambia,ZMB,Mobile cellular subscriptions,IT.CEL.SETS,327628287,10395801.0
Zimbabwe,ZWE,Mobile cellular subscriptions,IT.CEL.SETS,327628287,13633167.0
Afghanistan,AFG,Mobile cellular subscriptions,IT.CEL.SETS,361512328,18407168.0
Africa Western and Central,AFW,Mobile cellular subscriptions,IT.CEL.SETS,361512328,319468155.0
Angola,AGO,Mobile cellular subscriptions,IT.CEL.SETS,361512328,14052558.0
Albania,ALB,Mobile cellular subscriptions,IT.CEL.SETS,361512328,3359654.0
Andorra,AND,Mobile cellular subscriptions,IT.CEL.SETS,361512328,66241.0
Arab World,ARB,Mobile cellular subscriptions,IT.CEL.SETS,361512328,415029432.0
United Arab Emirates,ARE,Mobile cellular subscriptions,IT.CEL.SETS,361512328,16819024.0
Argentina,ARG,Mobile cellular subscriptions,IT.CEL.SETS,361512328,61234216.0
Armenia,ARM,Mobile cellular subscriptions,IT.CEL.SETS,361512328,3459137.0
Antigua and Barbuda,ATG,Mobile cellular subscriptions,IT.CEL.SETS,361512328,120041.0
Australia,AUS,Mobile cellular subscriptions,IT.CEL.SETS,361512328,25060000.0
Austria,AUT,Mobile cellular subscriptions,IT.CEL.SETS,361512328,12952605.0
Azerbaijan,AZE,Mobile cellular subscriptions,IT.CEL.SETS,361512328,10552520.0
Burundi,BDI,Mobile cellular subscriptions,IT.CEL.SETS,361512328,3193257.0
Belgium,BEL,Mobile cellular subscriptions,IT.CEL.SETS,361512328,12734724.0
Benin,BEN,Mobile cellular subscriptions,IT.CEL.SETS,361512328,8660432.0
Burkina Faso,BFA,Mobile cellular subscriptions,IT.CEL.SETS,361512328,12494391.0
Bangladesh,BGD,Mobile cellular subscriptions,IT.CEL.SETS,361512328,126866091.0
Bulgaria,BGR,Mobile cellular subscriptions,IT.CEL.SETS,361512328,9486927.0
Bahrain,BHR,Mobile cellular subscriptions,IT.CEL.SETS,361512328,2328994.0
"Bahamas, The",BHS,Mobile cellular subscriptions,IT.CEL.SETS,361512328,314842.0
Bosnia and Herzegovina,BIH,Mobile cellular subscriptions,IT.CEL.SETS,361512328,3491188.0
Belarus,BLR,Mobile cellular subscriptions,IT.CEL.SETS,361512328,11401927.0
Belize,BLZ,Mobile cellular subscriptions,IT.CEL.SETS,361512328,172300.0
Bermuda,BMU,Mobile cellular subscriptions,IT.CEL.SETS,361512328,59491.0
Bolivia,BOL,Mobile cellular subscriptions,IT.CEL.SETS,361512328,10450341.0
Brazil,BRA,Mobile cellular subscriptions,IT.CEL.SETS,361512328,280728796.0
Barbados,BRB,Mobile cellular subscriptions,IT.CEL.SETS,361512328,305456.0
Brunei Darussalam,BRN,Mobile cellular subscriptions,IT.CEL.SETS,361512328,452054.0
Bhutan,BTN,Mobile cellular subscriptions,IT.CEL.SETS,361512328,624536.0
Botswana,BWA,Mobile cellular subscriptions,IT.CEL.SETS,361512328,3410507.0
Central African Republic,CAF,Mobile cellular subscriptions,IT.CEL.SETS,361512328,1155620.0
Canada,CAN,Mobile cellular subscriptions,IT.CEL.SETS,361512328,28789000.0
Central Europe and the Baltics,CEB,Mobile cellular subscriptions,IT.CEL.SETS,361512328,136666800.0
Switzerland,CHE,Mobile cellular subscriptions,IT.CEL.SETS,361512328,11150000.0
Chile,CHL,Mobile cellular subscriptions,IT.CEL.SETS,361512328,23680718.0
China,CHN,Mobile cellular subscriptions,IT.CEL.SETS,361512328,1286093000.0
Cote d'Ivoire,CIV,Mobile cellular subscriptions,IT.CEL.SETS,361512328,22104575.0
Cameroon,CMR,Mobile cellular subscriptions,IT.CEL.SETS,361512328,17039059.0
"Congo, Dem. Rep.",COD,Mobile cellular subscriptions,IT.CEL.SETS,361512328,37102958.0
"Congo, Rep.",COG,Mobile cellular subscriptions,IT.CEL.SETS,361512328,4930100.0
Colombia,COL,Mobile cellular subscriptions,IT.CEL.SETS,361512328,55330272.0
Comoros,COM,Mobile cellular subscriptions,IT.CEL.SETS,361512328,383000.0
Cabo Verde,CPV,Mobile cellular subscriptions,IT.CEL.SETS,361512328,613378.0
Costa Rica,CRI,Mobile cellular subscriptions,IT.CEL.SETS,361512328,7020412.0
Caribbean small states,CSS,Mobile cellular subscriptions,IT.CEL.SETS,361512328,7952805.0
Cuba,CUB,Mobile cellular subscriptions,IT.CEL.SETS,361512328,2530752.0
Curacao,CUW,Mobile cellular subscriptions,IT.CEL.SETS,361512328,192569.0
Cayman Islands,CYM,Mobile cellular subscriptions,IT.CEL.SETS,361512328,91059.0
Cyprus,CYP,Mobile cellular subscriptions,IT.CEL.SETS,361512328,1110802.0
Czechia,CZE,Mobile cellular subscriptions,IT.CEL.SETS,361512328,13913100.0
Germany,DEU,Mobile cellular subscriptions,IT.CEL.SETS,361512328,99530000.0
Djibouti,DJI,Mobile cellular subscriptions,IT.CEL.SETS,361512328,287049.0
Dominica,DMA,Mobile cellular subscriptions,IT.CEL.SETS,361512328,73886.0
Denmark,DNK,Mobile cellular subscriptions,IT.CEL.SETS,361512328,7160233.0
Dominican Republic,DOM,Mobile cellular subscriptions,IT.CEL.SETS,361512328,8303536.0
Algeria,DZA,Mobile cellular subscriptions,IT.CEL.SETS,361512328,43298174.0
East Asia & Pacific (excluding high income),EAP,Mobile cellular subscriptions,IT.CEL.SETS,361512328,2067488251.0
Early-demographic dividend,EAR,Mobile cellular subscriptions,IT.CEL.SETS,361512328,2660476069.0
East Asia & Pacific,EAS,Mobile cellular subscriptions,IT.CEL.SETS,361512328,2371023551.0
Europe & Central Asia (excluding high income),ECA,Mobile cellular subscriptions,IT.CEL.SETS,361512328,490565398.0
Europe & Central Asia,ECS,Mobile cellular subscriptions,IT.CEL.SETS,361512328,1122665815.0
Ecuador,ECU,Mobile cellular subscriptions,IT.CEL.SETS,361512328,16605737.0
"Egypt, Arab Rep.",EGY,Mobile cellular subscriptions,IT.CEL.SETS,361512328,95316034.0
Euro area,EMU,Mobile cellular subscriptions,IT.CEL.SETS,361512328,407193689.0
Eritrea,ERI,Mobile cellular subscriptions,IT.CEL.SETS,361512328,417400.0
Spain,ESP,Mobile cellular subscriptions,IT.CEL.SETS,361512328,50806251.0
Estonia,EST,Mobile cellular subscriptions,IT.CEL.SETS,361512328,1897551.0
Ethiopia,ETH,Mobile cellular subscriptions,IT.CEL.SETS,361512328,30490000.0
European Union,EUU,Mobile cellular subscriptions,IT.CEL.SETS,361512328,546079631.0
Fragile and conflict affected situations,FCS,Mobile cellular subscriptions,IT.CEL.SETS,361512328,582136791.0
Finland,FIN,Mobile cellular subscriptions,IT.CEL.SETS,361512328,7602600.0
Fiji,FJI,Mobile cellular subscriptions,IT.CEL.SETS,361512328,876176.0
France,FRA,Mobile cellular subscriptions,IT.CEL.SETS,361512328,65425000.0
Faroe Islands,FRO,Mobile cellular subscriptions,IT.CEL.SETS,361512328,58282.0
Gabon,GAB,Mobile cellular subscriptions,IT.CEL.SETS,361512328,2932731.0
United Kingdom,GBR,Mobile cellular subscriptions,IT.CEL.SETS,361512328,78460684.0
Georgia,GEO,Mobile cellular subscriptions,IT.CEL.SETS,361512328,5400766.0
Ghana,GHA,Mobile cellular subscriptions,IT.CEL.SETS,361512328,30360771.0
Gibraltar,GIB,Mobile cellular subscriptions,IT.CEL.SETS,361512328,38000.0
Guinea,GIN,Mobile cellular subscriptions,IT.CEL.SETS,361512328,8683500.0
"Gambia, The",GMB,Mobile cellular subscriptions,IT.CEL.SETS,361512328,2283691.0
Guinea-Bissau,GNB,Mobile cellular subscriptions,IT.CEL.SETS,361512328,1108297.0
Equatorial Guinea,GNQ,Mobile cellular subscriptions,IT.CEL.SETS,361512328,516540.0
Greece,GRC,Mobile cellular subscriptions,IT.CEL.SETS,361512328,12144598.0
Grenada,GRD,Mobile cellular subscriptions,IT.CEL.SETS,361512328,117151.0
Greenland,GRL,Mobile cellular subscriptions,IT.CEL.SETS,361512328,60800.0
Guatemala,GTM,Mobile cellular subscriptions,IT.CEL.SETS,361512328,16911811.0
Guyana,GUY,Mobile cellular subscriptions,IT.CEL.SETS,361512328,566905.0
High income,HIC,Mobile cellular subscriptions,IT.CEL.SETS,361512328,1429385410.0
"Hong Kong SAR, China",HKG,Mobile cellular subscriptions,IT.CEL.SETS,361512328,16959455.0
Honduras,HND,Mobile cellular subscriptions,IT.CEL.SETS,361512328,7725092.0
Heavily indebted poor countries (HIPC),HPC,Mobile cellular subscriptions,IT.CEL.SETS,361512328,436363108.0
Croatia,HRV,Mobile cellular subscriptions,IT.CEL.SETS,361512328,4461352.0
Haiti,HTI,Mobile cellular subscriptions,IT.CEL.SETS,361512328,6769312.0
Hungary,HUN,Mobile cellular subscriptions,IT.CEL.SETS,361512328,11726491.0
IBRD only,IBD,Mobile cellular subscriptions,IT.CEL.SETS,361512328,4597139648.0
IDA & IBRD total,IBT,Mobile cellular subscriptions,IT.CEL.SETS,361512328,5651725351.0
IDA total,IDA,Mobile cellular subscriptions,IT.CEL.SETS,361512328,1054585703.0
IDA blend,IDB,Mobile cellular subscriptions,IT.CEL.SETS,361512328,370480601.0
Indonesia,IDN,Mobile cellular subscriptions,IT.CEL.SETS,361512328,325582819.0
IDA only,IDX,Mobile cellular subscriptions,IT.CEL.SETS,361512328,684105102.0
India,IND,Mobile cellular subscriptions,IT.CEL.SETS,361512328,944008677.0
Ireland,IRL,Mobile cellular subscriptions,IT.CEL.SETS,361512328,4912620.0
"Iran, Islamic Rep.",IRN,Mobile cellular subscriptions,IT.CEL.SETS,361512328,68891151.0
Iraq,IRQ,Mobile cellular subscriptions,IT.CEL.SETS,361512328,33000000.0
Iceland,ISL,Mobile cellular subscriptions,IT.CEL.SETS,361512328,370047.0
Israel,ISR,Mobile cellular subscriptions,IT.CEL.SETS,361512328,9500000.0
Italy,ITA,Mobile cellular subscriptions,IT.CEL.SETS,361512328,89914609.0
Jamaica,JAM,Mobile cellular subscriptions,IT.CEL.SETS,361512328,3005490.0
Jordan,JOR,Mobile cellular subscriptions,IT.CEL.SETS,361512328,11092404.0
Japan,JPN,Mobile cellular subscriptions,IT.CEL.SETS,361512328,157856591.0
Kazakhstan,KAZ,Mobile cellular subscriptions,IT.CEL.SETS,361512328,28595600.0
Kenya,KEN,Mobile cellular subscriptions,IT.CEL.SETS,361512328,33632631.0
Kyrgyz Republic,KGZ,Mobile cellular subscriptions,IT.CEL.SETS,361512328,7563444.0
Cambodia,KHM,Mobile cellular subscriptions,IT.CEL.SETS,361512328,20451982.0
Kiribati,KIR,Mobile cellular subscriptions,IT.CEL.SETS,361512328,30000.0
St. Kitts and Nevis,KNA,Mobile cellular subscriptions,IT.CEL.SETS,361512328,65000.0
"Korea, Rep.",KOR,Mobile cellular subscriptions,IT.CEL.SETS,361512328,57290356.0
Kuwait,KWT,Mobile cellular subscriptions,IT.CEL.SETS,361512328,7600000.0
Latin America & Caribbean (excluding high income),LAC,Mobile cellular subscriptions,IT.CEL.SETS,361512328,638605133.0
Lao PDR,LAO,Mobile cellular subscriptions,IT.CEL.SETS,361512328,4618586.0
Lebanon,LBN,Mobile cellular subscriptions,IT.CEL.SETS,361512328,4387275.0
Liberia,LBR,Mobile cellular subscriptions,IT.CEL.SETS,361512328,3225258.0
Libya,LBY,Mobile cellular subscriptions,IT.CEL.SETS,361512328,8497080.0
St. Lucia,LCA,Mobile cellular subscriptions,IT.CEL.SETS,361512328,188351.0
Latin America & Caribbean,LCN,Mobile cellular subscriptions,IT.CEL.SETS,361512328,712256783.0
Least developed countries: UN classification,LDC,Mobile cellular subscriptions,IT.CEL.SETS,361512328,578971020.0
Low income,LIC,Mobile cellular subscriptions,IT.CEL.SETS,361512328,288198925.0
Liechtenstein,LIE,Mobile cellular subscriptions,IT.CEL.SETS,361512328,40652.0
Sri Lanka,LKA,Mobile cellular subscriptions,IT.CEL.SETS,361512328,22123000.0
Lower middle income,LMC,Mobile cellular subscriptions,IT.CEL.SETS,361512328,2328979396.0
Low & middle income,LMY,Mobile cellular subscriptions,IT.CEL.SETS,361512328,5506471223.0
Lesotho,LSO,Mobile cellular subscriptions,IT.CEL.SETS,361512328,2138789.0
Late-demographic dividend,LTE,Mobile cellular subscriptions,IT.CEL.SETS,361512328,2467487932.0
Lithuania,LTU,Mobile cellular subscriptions,IT.CEL.SETS,361512328,4267592.0
Luxembourg,LUX,Mobile cellular subscriptions,IT.CEL.SETS,361512328,802400.0
Latvia,LVA,Mobile cellular subscriptions,IT.CEL.SETS,361512328,2384000.0
"Macao SAR, China",MAC,Mobile cellular subscriptions,IT.CEL.SETS,361512328,1856453.0
Morocco,MAR,Mobile cellular subscriptions,IT.CEL.SETS,361512328,44114534.0
Monaco,MCO,Mobile cellular subscriptions,IT.CEL.SETS,361512328,33675.0
Moldova,MDA,Mobile cellular subscriptions,IT.CEL.SETS,361512328,3738125.0
Madagascar,MDG,Mobile cellular subscriptions,IT.CEL.SETS,361512328,9713883.0
Maldives,MDV,Mobile cellular subscriptions,IT.CEL.SETS,361512328,665818.0
Middle East & North Africa,MEA,Mobile cellular subscriptions,IT.CEL.SETS,361512328,456533871.0
Mexico,MEX,Mobile cellular subscriptions,IT.CEL.SETS,361512328,104948339.0
Marshall Islands,MHL,Mobile cellular subscriptions,IT.CEL.SETS,361512328,15500.0
Middle income,MIC,Mobile cellular subscriptions,IT.CEL.SETS,361512328,5218272298.0
North Macedonia,MKD,Mobile cellular subscriptions,IT.CEL.SETS,361512328,2224439.0
Mali,MLI,Mobile cellular subscriptions,IT.CEL.SETS,361512328,23505559.0
Malta,MLT,Mobile cellular subscriptions,IT.CEL.SETS,361512328,546229.0
Myanmar,MMR,Mobile cellular subscriptions,IT.CEL.SETS,361512328,29029342.0
Middle East & North Africa (excluding high income),MNA,Mobile cellular subscriptions,IT.CEL.SETS,361512328,357504633.0
Montenegro,MNE,Mobile cellular subscriptions,IT.CEL.SETS,361512328,1013296.0
Mongolia,MNG,Mobile cellular subscriptions,IT.CEL.SETS,361512328,3027243.0
Mozambique,MOZ,Mobile cellular subscriptions,IT.CEL.SETS,361512328,18482638.0
Mauritania,MRT,Mobile cellular subscriptions,IT.CEL.SETS,361512328,3753330.0
Mauritius,MUS,Mobile cellular subscriptions,IT.CEL.SETS,361512328,1652000.0
